,Overall Customer ID,Customer ID,Customer Size
0,1,10001,1
1,2,20001,1
2,3,30001,0
3,3,30002,0
4,4,40001,1
5,4,40002,1
6,5,50001,2
7,5,50002,2
8,5,50003,2
9,5,50004,2
10,5,50005,2
11,5,50006,2
12,5,50007,2
13,5,50008,2
14,5,50009,2
15,5,50010,2
16,5,50011,2
17,5,50012,2
18,6,60001,1
19,6,60002,1
20,7,70001,2
21,7,70002,2
22,7,70003,2
23,7,70004,2
24,7,70005,2
25,7,70006,2
26,7,70007,2
27,7,70008,2
28,7,70009,2
29,7,70010,2
30,7,70011,2
31,7,70012,2
32,7,70013,2
33,7,70014,2
34,7,70015,2
35,7,70016,2
36,7,70017,2
37,7,70018,2
38,7,70019,2
39,7,70020,2
40,7,70021,2
41,7,70022,2
42,8,80001,1
43,8,80002,1
44,8,80003,1
45,9,90001,1
46,10,100001,0
47,11,110001,0
48,11,110002,0
49,12,120001,1
50,13,130001,1
51,14,140001,1
52,14,140002,1
53,15,150001,1
54,15,150002,1
55,16,160001,1
56,16,160002,1
57,17,170001,1
58,17,170002,1
59,18,180001,1
60,19,190001,1
61,20,200001,0
62,20,200002,0
63,21,210001,0
64,21,210002,0
65,22,220001,0
66,22,220002,0
67,23,230001,1
68,23,230002,1
69,24,240001,1
70,25,250001,0
71,26,260001,1
72,27,270001,1
73,27,270002,1
74,27,270003,1
75,28,280001,0
76,29,290001,0
77,30,300001,1
78,31,310001,1
79,31,310002,1
80,32,320001,0
81,33,330001,0
82,34,340001,1
83,34,340002,1
84,35,350001,0
85,35,350002,0
86,36,360001,2
87,37,370001,2
88,37,370002,2
89,38,380001,1
90,38,380002,1
91,39,390001,1
92,39,390002,1
93,40,400001,1
94,40,400002,1
95,41,410001,0
96,41,410002,0
97,42,420001,3
98,43,430001,0
99,44,440001,1
100,44,440002,1
101,45,450001,0
102,46,460001,0
103,47,470001,0
104,47,470002,0
105,48,480001,0
106,49,490001,1
107,50,500001,1
108,50,500002,1
109,51,510001,0
110,52,520001,2
111,52,520002,2
112,52,520003,2
113,52,520004,2
114,52,520005,2
115,52,520006,2
116,53,530001,2
117,53,530002,2
118,54,540001,1
119,55,550001,1
120,55,550002,1
121,55,550003,1
122,55,550004,1
123,56,560001,0
124,57,570001,0
125,58,580001,0
126,59,590001,0
127,59,590002,0
128,59,590003,0
129,60,600001,1
130,61,610001,0
131,62,620001,0
132,62,620002,0
133,62,620003,0
134,62,620004,0
135,63,630001,1
136,64,640001,0
137,65,650001,1
138,66,660001,1
139,67,670001,0
140,68,680001,0
141,69,690001,0
142,70,700001,1
143,70,700002,1
144,71,710001,0
145,72,720001,1
146,72,720002,1
147,72,720003,1
148,73,730001,1
149,74,740001,1
150,74,740002,1
151,75,750001,1
152,75,750002,1
153,76,760001,0
154,77,770001,0
155,78,780001,0
156,79,790001,1
157,79,790002,1
158,79,790003,1
159,80,800001,0
160,81,810001,0
161,82,820001,1
162,83,830001,1
163,84,840001,1
164,85,850001,0
165,85,850002,0
166,86,860001,1
167,87,870001,2
168,88,880001,0
169,89,890001,0
170,90,900001,1
171,90,900002,1
172,90,900003,1
173,91,910001,0
174,92,920001,0
175,93,930001,1
176,93,930002,1
177,93,930003,1
178,94,940001,1
179,95,950001,1
180,96,960001,1
181,97,970001,2
182,97,970002,2
183,98,980001,0
184,99,990001,0
185,100,1000001,1
186,101,1010001,1
187,102,1020001,1
188,103,1030001,0
189,104,1040001,1
190,105,1050001,1
191,106,1060001,2
192,107,1070001,0
193,108,1080001,1
194,109,1090001,1
195,109,1090002,1
196,110,1100001,0
197,110,1100002,0
198,111,1110001,2
199,111,1110002,2
200,112,1120001,0
201,113,1130001,2
202,113,1130002,2
203,114,1140001,1
204,114,1140002,1
205,115,1150001,1
206,116,1160001,1
207,117,1170001,0
208,117,1170002,0
209,118,1180001,2
210,118,1180002,2
211,119,1190001,2
212,119,1190002,2
213,120,1200001,1
214,121,1210001,1
215,122,1220001,0
216,122,1220002,0
217,123,1230001,1
218,123,1230002,1
219,124,1240001,0
220,125,1250001,1
221,126,1260001,0
222,126,1260002,0
223,127,1270001,0
224,127,1270002,0
225,128,1280001,1
226,129,1290001,0
227,129,1290002,0
228,130,1300001,0
229,130,1300002,0
230,130,1300003,0
231,130,1300004,0
232,130,1300005,0
233,130,1300006,0
234,130,1300007,0
235,130,1300008,0
236,130,1300009,0
237,131,1310001,1
238,131,1310002,1
239,132,1320001,1
240,132,1320002,1
241,133,1330001,0
242,133,1330002,0
243,134,1340001,1
244,135,1350001,1
245,135,1350002,1
246,136,1360001,1
247,137,1370001,0
248,138,1380001,0
249,139,1390001,0
250,140,1400001,0
251,141,1410001,1
252,141,1410002,1
253,141,1410003,1
254,141,1410004,1
255,141,1410005,1
256,141,1410006,1
257,142,1420001,0
258,143,1430001,1
259,144,1440001,1
260,145,1450001,1
261,146,1460001,0
262,146,1460002,0
263,146,1460003,0
264,146,1460004,0
265,147,1470001,1
266,147,1470002,1
267,148,1480001,0
268,149,1490001,1
269,149,1490002,1
270,149,1490003,1
271,149,1490004,1
272,150,1500001,1
273,151,1510001,0
274,151,1510002,0
275,152,1520001,1
276,153,1530001,1
277,154,1540001,0
278,155,1550001,0
279,156,1560001,0
280,156,1560002,0
281,157,1570001,0
282,158,1580001,0
283,158,1580002,0
284,159,1590001,1
285,160,1600001,1
286,160,1600002,1
287,160,1600003,1
288,161,1610001,0
289,162,1620001,1
290,163,1630001,0
291,164,1640001,1
292,164,1640002,1
293,164,1640003,1
294,165,1650001,1
295,166,1660001,0
296,167,1670001,0
297,168,1680001,0
298,169,1690001,0
299,170,1700001,0
300,171,1710001,2
301,171,1710002,2
302,171,1710003,2
303,171,1710004,2
304,171,1710005,2
305,171,1710006,2
306,171,1710007,2
307,171,1710008,2
308,172,1720001,1
309,173,1730001,1
310,174,1740001,1
311,175,1750001,1
312,176,1760001,2
313,176,1760002,2
314,176,1760003,2
315,177,1770001,0
316,178,1780001,0
317,179,1790001,0
318,179,1790002,0
319,179,1790003,0
320,179,1790004,0
321,180,1800001,1
322,180,1800002,1
323,181,1810001,2
324,181,1810002,2
325,182,1820001,1
326,182,1820002,1
327,182,1820003,1
328,182,1820004,1
329,183,1830001,0
330,184,1840001,0
331,185,1850001,1
332,185,1850002,1
333,186,1860001,2
334,186,1860002,2
335,186,1860003,2
336,186,1860004,2
337,186,1860005,2
338,186,1860006,2
339,186,1860007,2
340,186,1860008,2
341,186,1860009,2
342,186,1860010,2
343,186,1860011,2
344,186,1860012,2
345,186,1860013,2
346,186,1860014,2
347,186,1860015,2
348,187,1870001,0
349,187,1870002,0
350,187,1870003,0
351,187,1870004,0
352,187,1870005,0
353,187,1870006,0
354,187,1870007,0
355,187,1870008,0
356,187,1870009,0
357,187,1870010,0
