,RowID,Company,Open,Closed,Open_Year,Open_Month,Open_Day,Closed_Year,Closed_Month,Closed_Day
0,1,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
1,2,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
2,3,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
3,4,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
4,5,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
5,6,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
6,7,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
7,8,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
8,9,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
9,10,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
10,11,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
11,12,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
12,13,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
13,14,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
14,15,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
15,16,331360071,2014-06-06,2015-01-31,2014,6,6,2015.0,1.0,31.0
16,17,444620029,2014-06-06,2014-09-22,2014,6,6,2014.0,9.0,22.0
17,18,434420007,2014-06-07,2014-06-29,2014,6,7,2014.0,6.0,29.0
18,19,158590053,2014-06-07,2014-09-13,2014,6,7,2014.0,9.0,13.0
19,20,158590053,2014-06-07,2014-09-13,2014,6,7,2014.0,9.0,13.0
20,21,343810024,2014-06-08,2016-05-15,2014,6,8,2016.0,5.0,15.0
21,22,282300025,2014-06-08,2014-10-15,2014,6,8,2014.0,10.0,15.0
22,23,389150003,2014-06-10,2014-11-23,2014,6,10,2014.0,11.0,23.0
23,24,216990241,2014-06-11,2014-07-13,2014,6,11,2014.0,7.0,13.0
24,25,6640002,2014-06-11,2014-09-13,2014,6,11,2014.0,9.0,13.0
25,26,233040004,2014-06-12,2015-02-07,2014,6,12,2015.0,2.0,7.0
26,27,241250018,2014-06-12,2014-08-30,2014,6,12,2014.0,8.0,30.0
27,28,6380004,2014-06-12,2015-11-01,2014,6,12,2015.0,11.0,1.0
28,29,358520006,2014-06-12,2014-07-29,2014,6,12,2014.0,7.0,29.0
29,30,381950002,2014-06-12,2015-02-22,2014,6,12,2015.0,2.0,22.0
30,31,308520052,2014-06-12,2015-11-08,2014,6,12,2015.0,11.0,8.0
31,32,248330035,2014-06-12,2014-08-09,2014,6,12,2014.0,8.0,9.0
32,33,80440010,2014-06-13,,2014,6,13,,,
33,34,250980048,2014-06-14,2014-06-23,2014,6,14,2014.0,6.0,23.0
34,35,133900318,2014-06-14,2015-01-18,2014,6,14,2015.0,1.0,18.0
35,36,96800007,2014-06-14,2014-08-10,2014,6,14,2014.0,8.0,10.0
36,37,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
37,38,39610001,2014-06-14,2014-07-27,2014,6,14,2014.0,7.0,27.0
38,39,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
39,40,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
40,41,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
41,42,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
42,43,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
43,44,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
44,45,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
45,46,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
46,47,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
47,48,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
48,49,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
49,50,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
50,51,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
51,52,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
52,53,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
53,54,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
54,55,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
55,56,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
56,57,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
57,58,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
58,59,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
59,60,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
60,61,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
61,62,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
62,63,199330001,2014-06-14,2014-09-22,2014,6,14,2014.0,9.0,22.0
